PH,elec,tur,oxy,tem
7.003,2267.432,71.679,5.894,16.85
7.066,2144.867,71.669,6.157,16.986
7.107,2056.854,70.769,6.359,17.068
7.128,1964.693,69.069,6.494,17.094
7.137,1919.181,67.399,6.567,17.069
7.138,1958.914,65.687,6.556,17.012
7.135,1980.392,63.718,6.529,16.936
7.131,1994.099,61.779,6.521,16.876
7.126,1989.503,60.791,6.533,16.857
7.122,1979.332,60.993,6.532,16.903
7.119,1992.605,62.661,6.476,17.014
7.119,2201.553,66.02,6.335,17.15
7.123,2426.214,71.098,6.249,17.271
7.129,2602.243,78.392,6.229,17.38
7.136,2702.608,86.313,6.223,17.472
7.14,2758.488,91.693,6.202,17.543
7.142,2824.153,94.88,6.197,17.597
7.144,2881.302,96.034,6.145,17.615
7.147,2913.567,95.82,6.087,17.614
7.149,2978.061,94.868,5.986,17.587
7.15,3028.165,92.749,5.885,17.553
7.151,3071.514,89.831,5.838,17.541
7.152,3096.85,86.928,5.841,17.54
7.151,3114.862,84.17,5.893,17.542
7.151,3101.825,81.112,5.942,17.528
7.152,3035.218,76.96,5.891,17.502
7.155,2877.185,72.8,5.827,17.445
7.155,2638.502,68.421,5.673,17.352
7.152,2401.064,65.51,5.492,17.264
7.149,2436.34,63.86,5.343,17.194
7.147,2477.961,63.337,5.249,17.142
7.144,2584.764,64.334,5.207,17.12
7.142,2647.103,66.364,5.196,17.129
7.141,2653.412,68.709,5.224,17.18
7.142,2609.81,71.646,5.252,17.248
7.143,2624.685,73.839,5.252,17.318
7.144,2723.493,74.516,5.305,17.383
7.146,2738.91,74.966,5.418,17.464
7.145,2665.03,76.407,5.598,17.553
7.141,2698.421,77.857,5.875,17.629
7.135,2660.777,80.095,6.115,17.683
7.131,2624.748,83.593,6.381,17.729
7.128,2618.065,88.941,6.452,17.747
7.126,2522.321,94.053,6.464,17.736
7.124,2338.696,98.326,6.46,17.711
7.119,2500.649,98.466,6.455,17.659
7.116,2657.828,98.036,6.306,17.606
7.12,2822.537,96.494,6.052,17.551
7.127,2905.453,92.782,5.76,17.491
7.138,2902.418,89.878,5.447,17.45
7.152,2798.335,86.96,5.167,17.412
7.163,2536.758,84.02,5.031,17.388
7.164,2109.961,77.148,5.126,17.388
7.151,1958.318,66.742,5.38,17.388
